"","stationcode","objectid","originalid","sampledate","evaluator","hydromodcomments","fullyarmoredcomments","area","precipitation","valleyslope","valleywidth","giscomments","d50estimated","d50","d50comments","bankheightl1","bankheightl2","bankheightl3","bankheightr1","bankheightr2","bankheightr3","bankheightcomments","bankanglel1","bankanglel2","bankanglel3","bankangler1","bankangler2","bankangler3","bankanglecomments","streambedstate","streambedstatecomments","armoringpotential","armoringpotentialcomments","gradecontrol","gradecontrolcomments","lateralsusceptibilityl","lateralsusceptibilityr","lateralsusceptibilitycomments","sourcefile","q10","num_index","vertrating","vertsuscept","vwi","massriskthreshl1","massriskthreshl2","massriskthreshl3","massriskthreshr1","massriskthreshr2","massriskthreshr3","masssusceptl1","masssusceptl2","masssusceptl3","masssusceptr1","masssusceptr2","masssusceptr3","latratingl1","latratingl2","latratingl3","latratingr1","latratingr2","latratingr3","averagelatsuscept","leftratingoverall","rightratingoverall","lateralratingoverall","projectcode","submissionid","lastchangedate","fullyarmored","record_origin","origin_lastupdatedate","record_publish","globalid","created_user","created_date","last_edited_user","last_edited_date","login_agency","login_email","login_owner","login_year","login_project","ceden_publish","masterid","latitude","longitude","huc","county","smcshed"
"88","412M08597",38,38,2015-07-16,"Karin Wisenbaker","LAR08597"," ",168,17,0,16447,NA,NA,5660,"Concrete Channel",0,0,0,0,0,0," ",90,90,90,90,90,90,NA,"C",NA," "," "," "," ",1,1,NA,"SMCHydromod_LARWMP_2015",409,NA,3,"LOW",168,0,0,0,0,0,0,"HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","SMC_LARWMP_2015",NA,2016-05-05 12:24:34,"true","SMC",2019-01-23 00:00:00,"true","{F2893830-6951-41FC-89E9-AF8AB218AFF3}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"412M08597",34.15524,-118.43907,412,"Los Angeles","Los Angeles"
"89","412M08599",39,39,2015-09-30,"Wendy Wilis","LAR08599"," ",506,21,0,1589,NA,NA,100,NA,0,0,0,0,0,0," ",20,20,20,20,20,20,NA,"C",NA," "," "," "," ",1,1,NA,"SMCHydromod_LARWMP_2015",1240,NA,3,"LOW",10,21,21,21,21,21,21,"LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","SMC_LARWMP_2015",NA,2016-05-05 12:24:34,"false","SMC",2019-01-23 00:00:00,"true","{60E7AD4E-A9BF-4687-81C4-9F9038E0DBC6}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"412M08599",34.10602,-118.24338,412,"Los Angeles","Los Angeles"
"90","412M08602",40,40,2015-09-30,"Wendy Wilis","LAR08602"," ",578,21,0,31515,NA,NA,5660,"Concrete Channel",0,0,0,0,0,0," ",13,13,13,13,13,13,NA,"C",NA," "," "," "," ",1,1,NA,"SMCHydromod_LARWMP_2015",1392,NA,3,"LOW",189,60,60,60,60,60,60,"LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","SMC_LARWMP_2015",NA,2016-05-05 12:24:34,"true","SMC",2019-01-23 00:00:00,"true","{CB6D3E0C-1965-4B24-82A6-C5F747ABEFF1}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"412M08602",33.97131,-118.16996,412,"Los Angeles","Los Angeles"
"91","412M08641",178,30,2019-07-09,"Karin Wisenbaker","","",-88,-88,-88,-88,"",-88,-88,"",1,1,2,1,1,2,"",30,75,40,20,35,40,"","B","","C","NR","C","",2,3,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"SMC_LARWMP_2019",NA,NA,"No","SMC",2019-10-31 08:58:49,"false","{3385F329-206F-472D-A12C-E823458FB9D0}","checker",2019-10-31 08:58:49,"checker",2019-10-31 08:58:49,"ABCL","alexis@aquaticbioassay.com","LARWMP","2019","SMC",NA,"412M08641",34.30548,-118.06798,412,"Los Angeles","Los Angeles"
"92","412M08645",180,32,2019-07-15,"Karin Wisenbaker","","",-88,-88,-88,-88,"",-88,-88,"",15,10,10,10,10,10,"",30,30,30,50,50,50,"","A","","NR","NR","NR","",4,4,"",NA,NA,NA,NA,"MEDIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOW",NA,NA,NA,"SMC_LARWMP_2019",NA,NA,"No","SMC",2019-10-31 08:58:49,"false","{D20C67F2-7AED-4F5B-9A08-7E5E96372E2C}","checker",2019-10-31 08:58:49,"checker",2019-10-31 08:58:49,"ABCL","alexis@aquaticbioassay.com","LARWMP","2019","SMC",NA,"412M08645",34.28922,-118.50195,412,"Los Angeles","Los Angeles"
"93","412M08646",184,36,2019-07-16,"Alexis Wallengren","","",-88,-88,-88,-88,"",-88,-88,"",-88,-88,-88,-88,-88,-88,"",-88,-88,-88,-88,-88,-88,"","C","","NR","NR","NR","",1,1,"",NA,NA,NA,NA,"MEDIUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOW",NA,NA,NA,"SMC_LARWMP_2019",NA,NA,"Yes","SMC",2019-10-31 08:58:49,"false","{12F1534B-7A60-4E0A-A950-30AB2F812B6A}","checker",2019-10-31 08:58:49,"checker",2019-10-31 08:58:49,"ABCL","alexis@aquaticbioassay.com","LARWMP","2019","SMC",NA,"412M08646",34.1289,-118.08133,412,"Los Angeles","Los Angeles"
"94","412M08647",183,35,2019-07-16,"Alexis Wallengren","","",-88,-88,-88,-88,"",-88,-88,"",1,1,1,1,1,1,"",25,18,20,21,22,24,"","B","","C","NR","C","",3,3,"",NA,NA,NA,NA,"LOW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOW",NA,NA,NA,"SMC_LARWMP_2019",NA,NA,"No","SMC",2019-10-31 08:58:49,"false","{3C4B04D5-9C15-4B38-AC3F-DF126AC488A1}","checker",2019-10-31 08:58:49,"checker",2019-10-31 08:58:49,"ABCL","alexis@aquaticbioassay.com","LARWMP","2019","SMC",NA,"412M08647",34.27872,-118.30172,412,"Los Angeles","Los Angeles"
"100","412WE0552",185,37,2019-07-23,"Karin Wisenbaker","","",-88,-88,-88,-88,"",-88,-88,"",2,5,5,2,2,2,"",20,45,45,90,35,90,"","B","","A","NR","C","",2,3,"",NA,NA,NA,NA,"LOW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOW",NA,NA,NA,"SMC_LARWMP_2019",NA,NA,"No","SMC",2019-10-31 08:58:49,"false","{CC2E4068-436B-40AE-A980-C0134548B456}","checker",2019-10-31 08:58:49,"checker",2019-10-31 08:58:49,"ABCL","alexis@aquaticbioassay.com","LARWMP","2019","SMC",NA,"412WE0552",34.23908,-118.18059,412,"Los Angeles","Los Angeles"
"101","412WE0552",41,41,2015-08-26,"Karin Wisenbaker","LAR0552"," ",14,32,0,125,NA,NA,20,NA,0,0,0,0,0,0," ",25,33,10,30,15,5,NA,"A",NA," "," "," "," ",2,2,NA,"SMCHydromod_LARWMP_2015",75,NA,9,"HIGH",2,12,5,108,7,43,484,"LOW","LOW","LOW","LOW","LOW","LOW","VERY HIGH","VERY HIGH","HIGH","VERY HIGH","HIGH","HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","SMC_LARWMP_2015",NA,2016-05-05 12:24:34,"false","SMC",2019-01-23 00:00:00,"true","{DE5E18C0-14C3-40FA-92B8-B13425725DCA}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"412WE0552",34.23908,-118.18059,412,"Los Angeles","Los Angeles"
"102","412WE0896",42,42,2015-09-02,"Karin Wisenbaker","LAR0896"," ",93,30,0,212,NA,NA,15,NA,0,0,0,0,0,0," ",10,35,30,23,18,20,NA,"A",NA," "," "," "," ",2,2,NA,"SMCHydromod_LARWMP_2015",372,NA,9,"HIGH",2,108,4,7,15,28,21,"LOW","LOW","LOW","LOW","LOW","LOW","HIGH","VERY HIGH","VERY HIGH","VERY HIGH","HIGH","HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","SMC_LARWMP_2015",NA,2016-05-05 12:24:34,"false","SMC",2019-01-23 00:00:00,"true","{2D7B3E57-0B53-41F7-A809-29DE61787666}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"412WE0896",34.28771,-118.23008,412,"Los Angeles","Los Angeles"
"104","ME-CC",165,17,2019-07-25,"Alexis Wallengren","","",-88,-88,-88,-88,"",-88,-88,"",1,1,1,1,1,1,"",26,30,27,37,30,28,"","C","","NR","NR","NR","",1,1,"",NA,NA,NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HIGH",NA,NA,NA,"SMC_VCWPD_2019",NA,NA,"No","SMC",2019-10-30 11:53:37,"false","{2F916B15-9B1C-439D-A419-8C1A503F45BF}","checker",2019-10-30 11:53:37,"checker",2019-10-30 11:53:37,"ABCL","alexis@aquaticbioassay.com","VCWPD","2019","SMC",NA,"ME-CC",34.17912,-119.03968,408,"Ventura","Calleguas"
"105","ME-CC",132,659,2017-05-30,"Wendy Willis",NA,NA,250,17,0,7325,NA,NA,1,"SA",0,0,0,0,0,0,NA,35,40,37,35,40,37,NA,"C","NA",NA,"NA",NA,"NA",1,1,"NA","VCWPD Hydromod SMC 2017",556,0,3,"LOW",65,4,3,4,4,3,4,"LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW",NA,NA,NA,NA,NA,NA,"false","SMC",2019-01-23 00:00:00,"true","{C868B6F6-AE20-4128-811D-11542D5B898D}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ME-CC",34.17912,-119.03968,408,"Ventura","Calleguas"
"106","ME-CC",68,68,2015-06-24,"Karin Wisenbaker",NA," ",250,17,0,6328,NA,NA,1,NA,0,0,0,0,0,0," ",55,70,NA,20,90,5,"L3 not recorded","C",NA," "," "," "," ",1,1,NA,"SMCHydromod_VCWPD_2015",556,NA,3,"LOW",56,1,0,6,21,0,484,"LOW","HIGH","LOW","LOW","HIGH","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","SMC_VCWPD_2015",NA,2016-05-05 12:24:34,"false","SMC",2019-01-23 00:00:00,"true","{CA2A32CA-2F26-4084-9EB2-C5F6AB4A1B4D}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ME-CC",34.17912,-119.03968,408,"Ventura","Calleguas"
"108","ME-SCR2",159,11,2019-06-17,"Alexis Wallengren","","",-88,-88,-88,-88,"",-88,-88,"",1,1,1,1,1,1,"",28,90,45,38,32,15,"","A","","NR","NR","NR","",4,4,"",NA,NA,NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HIGH",NA,NA,NA,"SMC_VCWPD_2019",NA,NA,"No","SMC",2019-10-30 11:53:37,"false","{026DDB7D-954C-4070-ADE3-44270CF5150E}","checker",2019-10-30 11:53:37,"checker",2019-10-30 11:53:37,"ABCL","alexis@aquaticbioassay.com","VCWPD","2019","SMC",NA,"403M01661",34.30608,-119.09618,403,"Ventura","Santa Clara"
"109","ME-VR2",166,18,2019-07-31,"Karin Wisenbaker","","",-88,-88,-88,-88,"",-88,-88,"",3,3,2,3,3,4,"",60,50,40,60,60,40,"","C","","NR","NR","NR","",3,3,"",NA,NA,NA,NA,"LOW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOW",NA,NA,NA,"SMC_VCWPD_2019",NA,NA,"No","SMC",2019-10-30 11:53:37,"false","{7A13421F-C192-488E-85CF-BB38EEF7A41E}","checker",2019-10-30 11:53:37,"checker",2019-10-30 11:53:37,"ABCL","alexis@aquaticbioassay.com","VCWPD","2019","SMC",NA,"ME-VR2",34.34584,-119.29948,402,"Ventura","Ventura"
"110","ME-VR2",69,69,2015-06-11,"Karin Wisenbaker",NA," ",188,27,0,637,NA,NA,70,NA,0,0,0,0,0,0," ",30,60,45,32,15,11,NA,"B",NA,"9"," ","9"," ",3,3,NA,"SMCHydromod_VCWPD_2015",625,NA,6,"MEDIUM",5,7,0,2,6,43,88,"LOW","HIGH","LOW","LOW","LOW","LOW","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","SMC_VCWPD_2015",NA,2016-05-05 12:24:34,"false","SMC",2019-01-23 00:00:00,"true","{6E1D9294-F105-4347-B530-6DF5BB3B2534}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ME-VR2",34.34584,-119.29948,402,"Ventura","Ventura"
"111","ME-VR2",133,660,2017-06-21,"Karin Wisenbaker",NA,NA,188,27,0,636,NA,NA,50,NA,1,0,0,2,2,2,NA,20,15,23,15,75,85,NA,"C","NA",NA,"NA",NA,"NA",1,1,"NA","VCWPD Hydromod SMC 2017",625,0,3,"LOW",5,21,43,15,43,0,0,"LOW","LOW","LOW","LOW","HIGH","HIGH","LOW","LOW","LOW","LOW","LOW","LOW","LOW",NA,NA,NA,NA,NA,NA,"false","SMC",2019-01-23 00:00:00,"true","{AE52880C-9ADF-49EB-B978-F0EE2C343AE9}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ME-VR2",34.34584,-119.29948,402,"Ventura","Ventura"
"112","SGLT506",134,661,2017-06-22,"DO/NC",NA,NA,104,22,0,13928,NA,NA,-88,NA,4,4,4,4,4,4,NA,35,35,35,35,35,35,NA,"B","NA","9","NA","6","NA",5,5,"NA","LACFCD_Weston_2017_SMCHydromodTemplate_08_20_2015-2_More",324,0,4,"MEDIUM",158,4,4,4,4,4,4,"LOW","LOW","LOW","LOW","LOW","LOW","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH",NA,NA,NA,NA,NA,NA,"false","SMC",2019-01-23 00:00:00,"true","{C14CAACC-9E9C-43C6-A5EC-A406651A6B15}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SGLT506",34.06173,-117.99129,405,"Los Angeles","San Gabriel"
"113","SGUR3984",135,662,2017-06-29,"DO/NC",NA,NA,NA,NA,NA,NA,"Not on luStation list, might be under another name",NA,-88,NA,1,7,2,2,3,1,NA,30,80,40,35,40,15,NA,"B","NA","9","NA","9","NA",1,1,"NA","LACFCD_Weston_2017_SMCHydromodTemplate_08_20_2015-2_More",NA,NA,-88,"Unk",NA,7,0,3,4,3,43,"LOW","HIGH","LOW","LOW","HIGH","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW",NA,NA,NA,NA,NA,NA,"false","SMC",2019-01-23 00:00:00,"true","{8FE78CEF-2E47-4ACA-B921-5CE914104B36}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMC03984",34.24613,-117.90186,405,"Los Angeles","San Gabriel"
"114","SGUT502",70,70,2015-07-06,"Karin Wisenbaker","SGUT502"," ",20,36,0,53,NA,NA,20,NA,0,0,0,0,0,0," ",28,12,35,15,70,23,NA,"C",NA," "," "," "," ",4,4,NA,"SMCHydromod_SGRRMP_2015",112,NA,3,"LOW",0,9,72,4,43,0,15,"LOW","LOW","LOW","LOW","HIGH","LOW","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","SGRRMP_2015",NA,2016-05-05 12:24:34,"false","SMC",2019-01-23 00:00:00,"true","{23CDEBB5-F3BF-4608-8610-EAB004FFB353}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SGUT502",34.2283,-117.76593,405,"Los Angeles","San Gabriel"
"115","SGUT503",71,71,2015-07-08,"Karin Wisenbaker","SGUT503"," ",5,38,0,172,NA,NA,5,NA,0,0,0,0,0,0," ",20,28,26,15,25,22,NA,"C",NA," "," "," "," ",3,3,NA,"SMCHydromod_SGRRMP_2015",37,NA,3,"LOW",5,21,9,11,43,12,17,"LOW","LOW","LOW","LOW","LOW","LOW","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","SGRRMP_2015",NA,2016-05-05 12:24:34,"false","SMC",2019-01-23 00:00:00,"true","{061CCC0D-599C-414D-BE30-24B8D0D2940B}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SGUT503",34.29216,-117.83856,405,"Los Angeles","San Gabriel"
"116","SMC00027",160,12,2019-06-18,"Alexis Wallengren","","",-88,-88,-88,-88,"",-88,-88,"",1,1,1,1,1,1,"",35,32,25,38,47,39,"","A","","NR","NR","NR","",4,3,"",NA,NA,NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HIGH",NA,NA,NA,"SMC_VCWPD_2019",NA,NA,"No","SMC",2019-10-30 11:53:37,"false","{D5C966C6-EDD9-403E-BB0D-3ED409421F0B}","checker",2019-10-30 11:53:37,"checker",2019-10-30 11:53:37,"ABCL","alexis@aquaticbioassay.com","VCWPD","2019","SMC",NA,"403BA0027",34.66254,-119.05249,403,"Ventura","Santa Clara"
"117","SMC00027",136,663,2017-06-13,"Wendy Willis",NA,NA,30,28,0,194,"Took width measurement upstream, moved to be more representative",NA,40,NA,0,0,0,0,0,0,NA,45,27,53,30,25,32,NA,"B","NA","9","NA","9","NA",2,4,"NA","VCWPD Hydromod SMC 2017",132,0,6,"MEDIUM",3,2,10,1,7,12,6,"LOW","LOW","LOW","LOW","LOW","LOW","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH",NA,NA,NA,NA,NA,NA,"false","SMC",2019-01-23 00:00:00,"true","{BDAD654D-A152-485E-9163-EC5DCFE1B15E}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403BA0027",34.66254,-119.05249,403,"Ventura","Santa Clara"
"119","SMC00027",72,72,2015-07-13,"Wendy Willis",NA," ",30,28,0,93,"Look for site SMC000027",NA,1,NA,0,2,1,0,1,1," ",46,21,43,39,40,58,NA,"A",NA," "," "," "," ",4,3,NA,"SMCHydromod_VCWPD_2015",132,NA,9,"HIGH",1,2,19,2,3,3,0,"LOW","LOW","LOW","LOW","LOW","HIGH","HIGH","HIGH","HIGH","MEDIUM","MEDIUM","MEDIUM","MEDIUM","HIGH","MEDIUM","HIGH","SMC_VCWPD_2015",NA,2016-05-05 12:24:34,"false","SMC",2019-01-23 00:00:00,"true","{A6EE2F4C-7364-420A-ADC7-20DFB29998B8}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403BA0027",34.66254,-119.05249,403,"Ventura","Santa Clara"
"121","SMC00036",73,73,2015-06-15,"Karin Wisenbaker",NA," ",2,15,0,2617,NA,NA,9,NA,0,0,0,0,0,0," ",37,65,20,20,22,55,NA,"C",NA," "," "," "," ",5,5,NA,"SMCHydromod_VCWPD_2015",8,NA,3,"LOW",145,4,0,21,21,17,1,"LOW","LOW","LOW","LOW","LOW","LOW","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","SMC_VCWPD_2015",NA,2016-05-05 12:24:34,"false","SMC",2019-01-23 00:00:00,"true","{030AAEB6-E133-411F-809D-B8DF9790824F}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"408BA0036",34.21502,-118.87899,408,"Ventura","Calleguas"
"122","SMC00036",137,664,2017-04-27,"Karin Wisenbaker",NA,NA,2,15,0,4133,NA,NA,9,NA,0,0,0,0,0,0,NA,20,90,5,20,35,90,NA,"A","NA",NA,"NA",NA,"NA",1,1,"NA","VCWPD Hydromod SMC 2017",8,0,9,"High",230,21,0,484,21,4,0,"LOW","HIGH","LOW","LOW","LOW","HIGH","LOW","LOW","LOW","LOW","LOW","LOW","LOW",NA,NA,NA,NA,NA,NA,"false","SMC",2019-01-23 00:00:00,"true","{C9238E30-7459-4DBA-83DA-8E0F3B609C54}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"408BA0036",34.21502,-118.87899,408,"Ventura","Calleguas"
"123","SMC00047",151,3,2019-05-15,"Alexis Wallengren","","",-88,-88,-88,-88,"",-88,-88,"",1,1,1,1,1,1,"",25,37,21,35,7,28,"","A","","NR","NR","NR","",4,4,"",NA,NA,NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOW",NA,NA,NA,"SMC_VCWPD_2019",NA,NA,"No","SMC",2019-10-30 11:53:37,"false","{EB0612B8-A33A-47C6-8D1A-A39A51884F18}","checker",2019-10-30 11:53:37,"checker",2019-10-30 11:53:37,"ABCL","alexis@aquaticbioassay.com","VCWPD","2019","SMC",NA,"403BA0047",34.27084,-119.1524,403,"Ventura","Santa Clara"
"124","SMC00136",74,74,2015-06-09,"SM",NA," ",23,18,0,28,"Look for site SMC00136 in luStation of SMC_ReadOnly access file",NA,30,"Not in file",0,0,0,0,0,0," ",7,8,4,6,11,10,NA,"B",NA,"9"," ","9"," ",3,3,NA,"Region 4 hydromod data",75,NA,6,"MEDIUM",0,236,177,772,329,88,108,"LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","LOW","RWB4_SMC_2015",NA,2016-05-05 12:24:34,"false","SMC",2019-01-23 00:00:00,"true","{619907CA-E9C8-4633-B175-BD648D6C5787}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403BA0136",34.51202,-118.45038,403,"Los Angeles","Santa Clara"
"125","SMC00271",162,14,2019-06-19,"Alexis Wallengren","","",-88,-88,-88,-88,"",-88,-88,"",1,1,1,1,1,1,"",36,50,24,14,30,32,"","B","","C","NR","NR","",3,3,"",NA,NA,NA,NA,"LOW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOW",NA,NA,NA,"SMC_VCWPD_2019",NA,NA,"No","SMC",2019-10-30 11:53:37,"false","{B63989A3-1369-40CD-B51F-A27E61C08810}","checker",2019-10-30 11:53:37,"checker",2019-10-30 11:53:37,"ABCL","alexis@aquaticbioassay.com","VCWPD","2019","SMC",NA,"403M01539",34.5485,-119.16547,403,"Ventura","Santa Clara"
"126","SMC00271",76,76,2015-08-13,"Karin Wisenbaker",NA," ",9,27,0,142,NA,NA,62,NA,0,0,0,0,0,0," ",40,60,40,35,30,20,NA,"C",NA," "," "," "," ",3,3,NA,"SMCHydromod_VCWPD_2015",47,NA,3,"LOW",3,3,0,3,4,7,21,"LOW","LOW","LOW","LOW","LOW","LOW","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","SMC_VCWPD_2015",NA,2016-05-05 12:24:34,"false","SMC",2019-01-23 00:00:00,"true","{799CA567-6741-4F8D-9FBA-BC86E053AC38}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403M01539",34.5485,-119.16547,403,"Ventura","Santa Clara"
"127","SMC00271",141,668,2017-04-20,"Wendy Willis",NA,NA,9,27,0,82,NA,NA,60,NA,0,0,1,0,0,1,NA,30,22,43,24,33,48,NA,"C","NA",NA,"NA",NA,"NA",3,2,"NA","VCWPD Hydromod SMC 2017",47,0,3,"LOW",2,7,17,2,13,5,1,"LOW","LOW","LOW","LOW","LOW","LOW","MEDIUM","MEDIUM","MEDIUM","HIGH","HIGH","HIGH","MEDIUM",NA,NA,NA,NA,NA,NA,"false","SMC",2019-01-23 00:00:00,"true","{618C17D4-EFE9-4D1D-B0FC-FB6396941B75}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403M01539",34.5485,-119.16547,403,"Ventura","Santa Clara"
"129","SMC00318",187,39,2019-08-07,"Karin Wisenbaker","","",-88,-88,-88,-88,"",-88,-88,"",-88,-88,-88,-88,-88,-88,"",-88,-88,-88,-88,-88,-88,"","C","","NR","NR","NR","",1,1,"",NA,NA,NA,NA,"LOW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOW",NA,NA,NA,"SMC_LARWMP_2019",NA,NA,"Yes","SMC",2019-10-31 08:58:49,"false","{5468A196-D242-457B-8105-8E064D425B86}","checker",2019-10-31 08:58:49,"checker",2019-10-31 08:58:49,"ABCL","alexis@aquaticbioassay.com","LARWMP","2019","SMC",NA,"SMC00318",33.81287,-118.20558,412,"Los Angeles","Los Angeles"
"130","SMC00324",77,77,2015-06-17,"Karin Wisenbaker","ME-SCR"," ",1560,21,0,3992,NA,NA,0,NA,0,0,0,0,0,0," ",20,90,85,10,60,20,NA,"A",NA," "," "," "," ",4,4,NA,"SMCHydromod_VCWPD_2015",3220,NA,9,"HIGH",16,21,0,0,108,0,21,"LOW","HIGH","HIGH","LOW","LOW","LOW","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","VERY HIGH","SMC_VCWPD_2015",NA,2016-05-05 12:24:34,"false","SMC",2019-01-23 00:00:00,"true","{934DDE35-544A-4815-9ADA-3470CCF60AFD}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ME-SCR",34.30063,-119.1097,403,"Ventura","Santa Clara"
"131","SMC00520",78,78,2015-08-26,"Karin Wisenbaker","LAR00520"," ",110,30,0,149,NA,NA,1,NA,0,0,0,0,0,0," ",24,23,18,18,25,20,NA,"A",NA," "," "," "," ",4,1,NA,"SMCHydromod_LARWMP_2015",421,NA,9,"HIGH",1,13,15,28,28,12,21,"LOW","LOW","LOW","LOW","LOW","LOW","HIGH","HIGH","HIGH","LOW","LOW","LOW","MEDIUM","HIGH","LOW","HIGH","SMC_LARWMP_2015",NA,2016-05-05 12:24:34,"false","SMC",2019-01-23 00:00:00,"true","{960AF57E-4F10-49F2-8DEF-3A7DF2E72AEE}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMC00520",34.29626,-118.28252,412,"Los Angeles","Los Angeles"
"133","SMC00544",188,40,2019-06-27,"Karin Wisenbaker","","",-88,-88,-88,-88,"",-88,-88,"",10,6,2,4,3,2,"",55,80,60,45,770,40,"","B","","C","","C","",4,4,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"SMC_SGRRMP_2019",NA,NA,"No","SMC",2019-10-31 09:25:05,"false","{EF652EBB-DCB0-4DC6-84FD-282CE7B269A5}","checker",2019-10-31 09:25:05,"checker",2019-10-31 09:25:05,"ABCL","alexis@aquaticbioassay.com","SGRRMP","2019","SMC",NA,"SMC00544",34.14677,-117.74153,405,"Los Angeles","San Gabriel"
